hg19_1540	Barski_lab	CD4_Tcells	POLR2A	CD4+_T_cells+invitrogen	Unpublished	T_lymphocyte	EBV-	human
hg19_1368	ReMap_ChIP	RPMI-8402	TCF12	tall_rpmi8402	25477382	T_lymphocyte	EBV-	human
hg19_1370	ReMap_ChIP	RPMI-8402	TCF3	tall_rpmi8402	25477382	T_lymphocyte	EBV-	human
hg19_1294	ReMap_ChIP	T_helper_1	STAT1	cd4_ifng	25477382	T_lymphocyte	EBV-	human
hg19_1312	ReMap_ChIP	T_helper_1	STAT4	cd4_il12	25477382	T_lymphocyte	EBV-	human
hg19_1319	ReMap_ChIP	T_helper_1	STAT5A	cd4_il12	25477382	T_lymphocyte	EBV-	human
hg19_1321	ReMap_ChIP	T_helper_1	STAT5B	cd4_il12	25477382	T_lymphocyte	EBV-	human
hg19_0106	ReMap_ChIP	T_lymphocyte	BRD4	cd4+tcell	25477382	T_lymphocyte	EBV-	human
hg19_0107	ReMap_ChIP	T_lymphocyte	BRD4	cd4+tcell_jq1	25477382	T_lymphocyte	EBV-	human
hg19_0108	ReMap_ChIP	T_lymphocyte	BRD4	cd4+tcell_jq1_p5d	25477382	T_lymphocyte	EBV-	human
hg19_0109	ReMap_ChIP	T_lymphocyte	BRD4	cd4+tcell_p5d	25477382	T_lymphocyte	EBV-	human
hg19_1349	ReMap_ChIP	T-ALL_Prima2	TAL1	tall_prima2	25477382	T_lymphocyte	EBV-	human
hg19_1350	ReMap_ChIP	T-ALL_Prima5	TAL1	tall_prima5	25477382	T_lymphocyte	EBV-	human
