hg19_1540	Barski_lab	CD4_Tcells	POLR2A	CD4+_T_cells+invitrogen	Unpublished	T_lymphocyte	EBV-	human
hg19_0074	Cistrome_ChIP	LY1	BRD4	LY1+JQ1	22495751	B_lymphocyte	EBV-	human
hg19_1291	Cistrome_ChIP	Lymphocyte	STAT1	Lymphocyte	22495751	lymphocyte	EBV-	human
hg19_1308	Cistrome_ChIP	Lymphocyte	STAT4	Lymphocyte	22495751	lymphocyte	EBV-	human
hg19_1318	Cistrome_ChIP	Lymphocyte	STAT5A	Lymphocyte	22495751	lymphocyte	EBV-	human
hg19_1320	Cistrome_ChIP	Lymphocyte	STAT5B	Lymphocyte	22495751	lymphocyte	EBV-	human
hg19_0313	Cistrome_ChIP	ME-1	ELF1	ME-1	22495751	blood	EBV-	human
hg19_0339	Cistrome_ChIP	ME-1	EP300	ME-1	22495751	blood	EBV-	human
hg19_0450	Cistrome_ChIP	ME-1	FLI1	ME-1	22495751	blood	EBV-	human
hg19_1251	Cistrome_ChIP	ME-1	SPI1	ME-1	22495751	blood	EBV-	human
hg19_0456	Cistrome_ChIP	Megakaryocyte	FLI1	Megakaryocyte	22495751	megakaryocyte	EBV-	human
hg19_0065	Cistrome_ChIP	MM.1S	BRD2	MM1.S	22495751	B_lymphocyte	EBV+	human
hg19_0069	Cistrome_ChIP	MM.1S	BRD3	MM1.S	22495751	B_lymphocyte	EBV+	human
hg19_0075	Cistrome_ChIP	MM.1S	BRD4	MM1.S	22495751	B_lymphocyte	EBV+	human
hg19_0076	Cistrome_ChIP	MM.1S	BRD4	MM1.S+500nm_JQ1	22495751	B_lymphocyte	EBV+	human
hg19_0077	Cistrome_ChIP	MM.1S	BRD4	MM1.S+50nm_JQ1	22495751	B_lymphocyte	EBV+	human
hg19_0078	Cistrome_ChIP	MM.1S	BRD4	MM1.S+5nm_JQ1	22495751	B_lymphocyte	EBV+	human
hg19_0079	Cistrome_ChIP	MM.1S	BRD4	MM1.S+5um_JQ1	22495751	B_lymphocyte	EBV+	human
hg19_0080	Cistrome_ChIP	MM.1S	BRD4	MM1.S+DMSO	22495751	B_lymphocyte	EBV+	human
hg19_0764	Cistrome_ChIP	MM.1S	MYC	MM1.S	22495751	B_lymphocyte	EBV+	human
hg19_0154	Cistrome_ChIP	Monocyte	CEBPB	Monocyte_CD14+	22495751	monocyte	EBV-	human
hg19_0262	Cistrome_ChIP	Monocyte	CTCF	Monocyte_CD14+	22495751	monocyte	EBV-	human
hg19_0640	Cistrome_ChIP	Monocyte	IRF1	CD14+	22495751	monocyte	EBV-	human
hg19_0641	Cistrome_ChIP	Monocyte	IRF1	Monocyte_CD14+	22495751	monocyte	EBV-	human
hg19_1292	Cistrome_ChIP	Monocyte	STAT1	CD14+	22495751	monocyte	EBV-	human
hg19_1293	Cistrome_ChIP	Monocyte	STAT1	Monocyte_CD14+	22495751	monocyte	EBV-	human
hg19_0931	Cistrome_ChIP	Namalwa	PAX5	Namalwa	22495751	B_lymphocyte	EBV+	human
hg19_1264	Cistrome_ChIP	Natural_Killer_Cell	SPI1	CD56+	22495751	NK_cell	EBV-	human
hg19_0655	Cistrome_ChIP	NCI-H929	IRF4	H929	22495751	plasma	EBV-	human
hg19_1265	Cistrome_ChIP	NCI-H929	SPI1	H929	22495751	plasma	EBV-	human
hg19_1270	Cistrome_ChIP	NCI-H929	SPIB	H929	22495751	plasma	EBV-	human
hg19_0042	Cistrome_ChIP	OCI-Ly10	BATF	OCI-Ly10	22495751	B_lymphocyte	EBV-	human
hg19_0649	Cistrome_ChIP	OCI-Ly10	IRF4	OCI-Ly10	22495751	B_lymphocyte	EBV-	human
hg19_1246	Cistrome_ChIP	OCI-Ly10	SPI1	OCI-Ly10	22495751	B_lymphocyte	EBV-	human
hg19_0043	Cistrome_ChIP	OCI-Ly3	BATF	OCI-Ly3	22495751	B_lymphocyte	EBV-	human
hg19_0650	Cistrome_ChIP	OCI-Ly3	IRF4	OCI-Ly3	22495751	B_lymphocyte	EBV-	human
hg19_0651	Cistrome_ChIP	OCI-Ly3	IRF4	OCI-Ly3+SCRM	22495751	B_lymphocyte	EBV-	human
hg19_0652	Cistrome_ChIP	OCI-Ly3	IRF4	OCI-Ly3+SPIBKD	22495751	B_lymphocyte	EBV-	human
hg19_1247	Cistrome_ChIP	OCI-Ly3	SPI1	OCI-Ly3	22495751	B_lymphocyte	EBV-	human
hg19_1269	Cistrome_ChIP	OCI-Ly3	SPIB	OCI-Ly3	22495751	B_lymphocyte	EBV-	human
hg19_0698	Cistrome_ChIP	P493-6	MAX	P493-6	22495751	B_lymphocyte	EBV+	human
hg19_0699	Cistrome_ChIP	P493-6	MAX	P493-6+T1	22495751	B_lymphocyte	EBV+	human
hg19_0700	Cistrome_ChIP	P493-6	MAX	P493-6+T24	22495751	B_lymphocyte	EBV+	human
hg19_0769	Cistrome_ChIP	P493-6	MYC	P493-6	22495751	B_lymphocyte	EBV+	human
hg19_1309	Cistrome_ChIP	Peripheral_Blood_Mononuclear_Cell	STAT4	Mononuclear_PBMC	22495751	PBMC	EBV-	human
hg19_1310	Cistrome_ChIP	Peripheral_Blood_Mononuclear_Cell	STAT4	PBMC	22495751	PBMC	EBV-	human
hg19_0726	Cistrome_ChIP	Plasma	MAX	Plasma	22495751	plasma	EBV-	human
hg19_0932	Cistrome_ChIP	Raji	PAX5	Raji	22495751	B_lymphocyte	EBV+	human
hg19_0364	Cistrome_ChIP	SKNO-1	EP300	SKNO-1	22495751	myeloid	EBV-	human
hg19_0458	Cistrome_ChIP	SKNO-1	FLI1	SKNO-1	22495751	myeloid	EBV-	human
hg19_1360	Cistrome_ChIP	T_helper_1	TBX21	Th1	22495751	T_lymphocyte	EBV-	human
hg19_0568	Cistrome_ChIP	T_helper_2	GATA3	Th2	22495751	T_lymphocyte	EBV-	human
hg19_0169	Cistrome_ChIP	T_lymphocyte	CREBBP	CD4+	22495751	T_lymphocyte	EBV-	human
hg19_0369	Cistrome_ChIP	T_lymphocyte	EP300	CD4+	22495751	T_lymphocyte	EBV-	human
hg19_0371	Cistrome_ChIP	T_lymphocyte	EP300	T_Lymphocyte	22495751	T_lymphocyte	EBV-	human
hg19_0419	Cistrome_ChIP	T_lymphocyte	ETS1	T_Lymphocyte	22495751	T_lymphocyte	EBV-	human
hg19_0597	Cistrome_ChIP	T_lymphocyte	HDAC1	CD4+	22495751	T_lymphocyte	EBV-	human
hg19_0602	Cistrome_ChIP	T_lymphocyte	HDAC6	CD4+	22495751	T_lymphocyte	EBV-	human
hg19_0633	Cistrome_ChIP	T_lymphocyte	INO80	CD4+	22495751	T_lymphocyte	EBV-	human
hg19_0676	Cistrome_ChIP	T_lymphocyte	KAT5	CD4+	22495751	T_lymphocyte	EBV-	human
hg19_0677	Cistrome_ChIP	T_lymphocyte	KAT8	CD4+	22495751	T_lymphocyte	EBV-	human
hg19_1008	Cistrome_ChIP	T_lymphocyte	POLR3A	CD4+	22495751	T_lymphocyte	EBV-	human
hg19_1267	Cistrome_ChIP	T_lymphocyte	SPI1	CD3+	22495751	T_lymphocyte	EBV-	human
hg19_1268	Cistrome_ChIP	T_lymphocyte	SPI1	CD8+	22495751	T_lymphocyte	EBV-	human
hg19_1271	Cistrome_ChIP	T_lymphocyte	SRCAP	CD4+	22495751	T_lymphocyte	EBV-	human
hg19_1313	Cistrome_ChIP	T_lymphocyte	STAT5	T_Lymphocyte	22495751	T_lymphocyte	EBV-	human
hg19_1504	Cistrome_ChIP	T_lymphocyte	YY1	CD4+	22495751	T_lymphocyte	EBV-	human
hg19_1505	Cistrome_ChIP	T_lymphocyte	YY1	T_Lymphocyte	22495751	T_lymphocyte	EBV-	human
hg19_1473	Cistrome_ChIP	THP-1	VDR	THP-1	22495751	monocyte	EBV-	human
hg19_0457	Cistrome_ChIP	U-937	FLI1	U937	22495751	monocyte	EBV-	human
hg19_1166	Cistrome_ChIP	U-937	SMAD1	U937	22495751	monocyte	EBV-	human
hg19_0269	ENCODE	DND-41	CTCF	Dnd41	22955619	T_lymphocyte	EBV-	human
hg19_0445	ENCODE	DND-41	EZH2	Dnd41	22955619	T_lymphocyte	EBV-	human
hg19_0175	ENCODE	GM06990	CTCF	GM06990	22955619	B_lymphocyte	EBV+	human
hg19_0962	ENCODE	GM10847	POLR2A	GM10847	22955619	B_lymphocyte	EBV+	human
hg19_1066	ENCODE	GM10847	RELA	GM10847+TNFa	22955619	B_lymphocyte	EBV+	human
hg19_0176	ENCODE	GM12801	CTCF	GM12801	22955619	B_lymphocyte	EBV+	human
hg19_0177	ENCODE	GM12864	CTCF	GM12864	22955619	B_lymphocyte	EBV+	human
hg19_0178	ENCODE	GM12865	CTCF	GM12865	22955619	B_lymphocyte	EBV+	human
hg19_0179	ENCODE	GM12872	CTCF	GM12872	22955619	B_lymphocyte	EBV+	human
hg19_0180	ENCODE	GM12873	CTCF	GM12873	22955619	B_lymphocyte	EBV+	human
hg19_0181	ENCODE	GM12874	CTCF	GM12874	22955619	B_lymphocyte	EBV+	human
hg19_0182	ENCODE	GM12875	CTCF	GM12875	22955619	B_lymphocyte	EBV+	human
hg19_0028	ENCODE	GM12878	ATF2	GM12878	22955619	B_lymphocyte	EBV+	human
hg19_0030	ENCODE	GM12878	ATF3	GM12878	22955619	B_lymphocyte	EBV+	human
hg19_0045	ENCODE	GM12878	BATF	GM12878	22955619	B_lymphocyte	EBV+	human
