hg19_1540	Barski_lab	CD4_Tcells	POLR2A	CD4+_T_cells+invitrogen	Unpublished	T_lymphocyte	EBV-	human
hg19_0855	Misc_ChIP	GM12878	NFKB2	GM12878	25255445	B_lymphocyte	EBV+	human
hg19_1054	Misc_ChIP	GM12878	REL	GM12878	25255445	B_lymphocyte	EBV+	human
hg19_1076	Misc_ChIP	GM12878	RELA	GM12878	25255445	B_lymphocyte	EBV+	human
hg19_1091	Misc_ChIP	GM12878	RELB	GM12878	25255445	B_lymphocyte	EBV+	human
hg19_0301	Misc_ChIP	IB4	EBNA2	IB4	21746931	B_lymphocyte	EBV+	EBV
hg19_0304	Misc_ChIP	IB4	EBNALP	IB4	24167291	B_lymphocyte	EBV+	EBV
hg19_1047	Misc_ChIP	IB4	RBPJ	IB4	21746931	B_lymphocyte	EBV+	human
hg19_0003	Misc_ChIP	Jurkat	TAT	Jurkat	22073215	T_lymphocyte	EBV-	HIV
hg19_1117	Misc_ChIP	Kasumi-1	RUNX1	Kasumi-1	22343733	myeloblast	EBV-	human
hg19_1118	Misc_ChIP	Kasumi-1	RUNX1	Kasumi-1	22343733	myeloblast	EBV-	human
hg19_1119	Misc_ChIP	Kasumi-1	RUNX1	Kasumi-1_siMM	22343733	myeloblast	EBV-	human
hg19_1120	Misc_ChIP	Kasumi-1	RUNX1	Kasumi-1_siMM	22343733	myeloblast	EBV-	human
hg19_1121	Misc_ChIP	Kasumi-1	RUNX1	Kasumi-1_siRE	22343733	myeloblast	EBV-	human
hg19_1122	Misc_ChIP	Kasumi-1	RUNX1	Kasumi-1_siRE	22343733	myeloblast	EBV-	human
hg19_0302	Misc_ChIP	Mutu	EBNA2	MutuIII	24068937	B_lymphocyte	EBV+	EBV
hg19_0303	Misc_ChIP	Mutu	EBNA3C	MutuIII	24068937	B_lymphocyte	EBV+	EBV
hg19_0656	Misc_ChIP	Peripheral_Blood_Mononuclear_Cell	IRF5	PBMC	22730365	PBMC	EBV-	human
hg19_1311	Misc_ChIP	Peripheral_Blood_Mononuclear_Cell	STAT4	PBMC	22730365	PBMC	EBV-	human
hg19_0001	Misc_ChIP	Raji	EBNA1	Raji	20929547	B_lymphocyte	EBV+	EBV
hg19_1377	Pazar_Chip	CD4+	TCF7L2	CD40	18971253	CD4+	EBV-	human
hg19_0170	Pazar_Chip	Jurkat	CREBBP	Jurkat	18971253	T_lymphocyte	EBV-	human
hg19_0420	Pazar_Chip	Jurkat	ETS1	Jurkat	18971253	T_lymphocyte	EBV-	human
hg19_1124	Pazar_Chip	Jurkat	RUNX1	Jurkat	18971253	T_lymphocyte	EBV-	human
hg19_1347	Pazar_Chip	Jurkat	TAL1	Jurkat	18971253	T_lymphocyte	EBV-	human
hg19_0551	Pazar_Chip	Megakaryocyte	GATA1	megakaryocytes	18971253	megakaryocyte	EBV-	human
hg19_1116	Pazar_Chip	Megakaryocyte	RUNX1	megakaryocytes	18971253	megakaryocyte	EBV-	human
hg19_1346	Pazar_Chip	Megakaryocyte	TAL1	megakaryocytes	18971253	megakaryocyte	EBV-	human
hg19_0607	Pazar_Chip	T_lymphocyte	HMGN1	CD4+	18971253	T_lymphocyte	EBV-	human
hg19_0886	Pazar_Chip	THP-1	NR1H2	THP-1	18971253	monocyte	EBV-	human
hg19_1019	Pazar_Chip	THP-1	PPARG	THP-1	18971253	monocyte	EBV-	human
hg19_1138	Pazar_Chip	THP-1	RXRA	THP-1	18971253	monocyte	EBV-	human
hg19_1261	Pazar_Chip	THP-1	SPI1	THP-1	18971253	monocyte	EBV-	human
hg19_1474	Pazar_Chip	THP-1	VDR	THP-1+stimulated	18971253	monocyte	EBV-	human
hg19_1475	Pazar_Chip	THP-1	VDR	THP-1+unstimulated	18971253	monocyte	EBV-	human
hg19_0135	Pazar_Chip	U-937	CEBPA	U937+BIO	18971253	monocyte	EBV-	human
hg19_0136	Pazar_Chip	U-937	CEBPA	U937+BMP4	18971253	monocyte	EBV-	human
hg19_0137	Pazar_Chip	U-937	CEBPA	U937+DMSO	18971253	monocyte	EBV-	human
hg19_1167	Pazar_Chip	U-937	SMAD1	U937+BMP4	18971253	monocyte	EBV-	human
hg19_1390	Pazar_Chip	U-937	TCF7L2	U937+BIO	18971253	monocyte	EBV-	human
hg19_0379	ReMap_ChIP	AML_pz12	ERG	amlpz12_leukemic	25477382	myeloid	EBV-	human
hg19_1103	ReMap_ChIP	APL	REST	apl	25477382	promyelocyte	EBV-	human
hg19_0381	ReMap_ChIP	APL_pz74	ERG	aplpz74_leukemia	25477382	promyelocyte	EBV-	human
hg19_1190	ReMap_ChIP	B_lymphocyte	SMARCA4	bcell	25477382	B_lymphocyte	EBV-	human
hg19_0174	ReMap_ChIP	BCBL-1	CTCF	lcl_bcbl1	25477382	B_lymphocyte	EBV-	human
hg19_1201	ReMap_ChIP	BCBL-1	SMC1A	lcl_bcbl1	25477382	B_lymphocyte	EBV-	human
hg19_0765	ReMap_ChIP	BL41	MYC	lcl_bl41	25477382	B_lymphocyte	EBV-	human
hg19_0173	ReMap_ChIP	BL-41	CTCF	bl41	25477382	B_lymphocyte	EBV-	human
hg19_0192	ReMap_ChIP	CD4+	CTCF	cd4	25477382	CD4+	EBV-	human
hg19_1192	ReMap_ChIP	CD4+	SMARCA4	cd4	25477382	CD4+	EBV-	human
hg19_0883	ReMap_ChIP	CUTLL1	NOTCH1	cutll	25477382	T_lymphocyte	EBV-	human
hg19_1049	ReMap_ChIP	CUTLL1	RBPJ	cutll	25477382	T_lymphocyte	EBV-	human
hg19_1527	ReMap_ChIP	CUTLL1	ZNF143	cutll	25477382	T_lymphocyte	EBV-	human
hg19_0051	ReMap_ChIP	GC_B_lymphocyte	BCL6	germ_bcell	25477382	B_lymphocyte	EBV-	human
hg19_0054	ReMap_ChIP	GC_B_lymphocyte	BCOR	germ_bcell	25477382	B_lymphocyte	EBV-	human
hg19_1468	ReMap_ChIP	GM10861	VDR	lclgm10861_calcitriol	25477382	B_lymphocyte	EBV+	human
hg19_0848	ReMap_ChIP	GM12878	NFKB1	lclgm12878	25477382	B_lymphocyte	EBV+	human
hg19_0849	ReMap_ChIP	GM12891	NFKB1	lclgm12891	25477382	B_lymphocyte	EBV+	human
hg19_0850	ReMap_ChIP	GM12892	NFKB1	lclgm12892	25477382	B_lymphocyte	EBV+	human
hg19_0851	ReMap_ChIP	GM18951	NFKB1	lclgm18951	25477382	B_lymphocyte	EBV+	human
hg19_0852	ReMap_ChIP	GM19193	NFKB1	lclgm19193	25477382	B_lymphocyte	EBV+	human
hg19_0874	ReMap_ChIP	HLS554P	NIPBL	lcl_hls554p	25477382	B_lymphocyte	EBV+	human
hg19_1202	ReMap_ChIP	HLS554P	SMC1A	lcl_hls554p	25477382	B_lymphocyte	EBV+	human
hg19_0884	ReMap_ChIP	HPB-ALL	NOTCH1	hpball	25477382	T_lymphocyte	EBV-	human
hg19_1528	ReMap_ChIP	HPB-ALL	ZNF143	hpball	25477382	T_lymphocyte	EBV-	human
hg19_1048	ReMap_ChIP	IB4	RBPJ	lclib4	25477382	B_lymphocyte	EBV+	human
hg19_0270	ReMap_ChIP	Jurkat	CTCF	jurkat	25477382	T_lymphocyte	EBV-	human
hg19_0421	ReMap_ChIP	Jurkat	ETS1	jurkat	25477382	T_lymphocyte	EBV-	human
hg19_0569	ReMap_ChIP	Jurkat	GATA3	jurkat	25477382	T_lymphocyte	EBV-	human
hg19_1125	ReMap_ChIP	Jurkat	RUNX1	jurkat	25477382	T_lymphocyte	EBV-	human
hg19_1126	ReMap_ChIP	Jurkat	RUNX1	jurkat	25477382	T_lymphocyte	EBV-	human
hg19_1348	ReMap_ChIP	Jurkat	TAL1	jurkat	25477382	T_lymphocyte	EBV-	human
hg19_1127	ReMap_ChIP	Kasumi-1	RUNX1T1	kasumi1_leukemic	25477382	myeloblast	EBV-	human
hg19_1367	ReMap_ChIP	Kasumi-1	TCF12	kasumi1_leukemic	25477382	myeloblast	EBV-	human
hg19_0771	ReMap_ChIP	LCL	MYC	lcl_blue1	25477382	B_lymphocyte	EBV+	human
hg19_0846	ReMap_ChIP	LCL	NFKB1	lcl_dex	25477382	B_lymphocyte	EBV+	human
hg19_0847	ReMap_ChIP	LCL	NFKB1	lcl_etoh	25477382	B_lymphocyte	EBV+	human
hg19_0895	ReMap_ChIP	LCL	NR3C1	lcl_dex	25477382	B_lymphocyte	EBV+	human
hg19_0896	ReMap_ChIP	LCL	NR3C1	lcl_etoh	25477382	B_lymphocyte	EBV+	human
hg19_0448	ReMap_ChIP	LCL-UAE	FLI1	uae_leukemic	25477382	B_lymphocyte	EBV-	human
hg19_0449	ReMap_ChIP	LCL-UAE	FLI1	uae_leukemic_5hrzinc	25477382	B_lymphocyte	EBV-	human
hg19_0284	ReMap_ChIP	Lymphoblastoid	E2F4	lymphoblastoid	25477382	B_lymphocyte	EBV+	human
hg19_0153	ReMap_ChIP	Macrophage	CEBPB	blood_macrophage	25477382	macrophage	EBV-	human
hg19_1260	ReMap_ChIP	Macrophage	SPI1	blood_macrophage	25477382	macrophage	EBV-	human
hg19_0081	ReMap_ChIP	MM.1S	BRD4	mm1s_dmso	25477382	B_lymphocyte	EBV+	human
hg19_0082	ReMap_ChIP	MM.1S	BRD4	mm1s_jq1_500nm	25477382	B_lymphocyte	EBV+	human
hg19_0083	ReMap_ChIP	MM.1S	BRD4	mm1s_jq1_50nm	25477382	B_lymphocyte	EBV+	human
hg19_0084	ReMap_ChIP	MM.1S	BRD4	mm1s_jq1_5nm	25477382	B_lymphocyte	EBV+	human
hg19_0121	ReMap_ChIP	MM.1S	CDK9	mm1s_dmso	25477382	B_lymphocyte	EBV+	human
hg19_0122	ReMap_ChIP	MM.1S	CDK9	mm1s_jq1_500nm	25477382	B_lymphocyte	EBV+	human
hg19_0731	ReMap_ChIP	MM.1S	MBD4	mm1s_dmso	25477382	B_lymphocyte	EBV+	human
hg19_0732	ReMap_ChIP	MM.1S	MBD4	mm1s_jq1_500nm	25477382	B_lymphocyte	EBV+	human
hg19_0767	ReMap_ChIP	MM.1S	MYC	mm1s_dmso	25477382	B_lymphocyte	EBV+	human
hg19_0155	ReMap_ChIP	Monocyte	CEBPB	blood_monocyte	25477382	monocyte	EBV-	human
hg19_1262	ReMap_ChIP	Monocyte	SPI1	blood_monocyte	25477382	monocyte	EBV-	human
hg19_0086	ReMap_ChIP	P493-6	BRD4	bcellp493-6_cmyc1hr	25477382	B_lymphocyte	EBV+	human
hg19_0702	ReMap_ChIP	P493-6	MAX	bcellp493-6	25477382	B_lymphocyte	EBV+	human
hg19_0703	ReMap_ChIP	P493-6	MAX	p493_6_0hr	25477382	B_lymphocyte	EBV+	human
hg19_0704	ReMap_ChIP	P493-6	MAX	p493_6_1hr	25477382	B_lymphocyte	EBV+	human
hg19_0099	ReMap_ChIP	Plasma	BRD4	plasma_dmso	25477382	plasma	EBV-	human
hg19_0100	ReMap_ChIP	Plasma	BRD4	plasma_jq1	25477382	plasma	EBV-	human
hg19_0123	ReMap_ChIP	Plasma	CDK9	plasma_dmso	25477382	plasma	EBV-	human
hg19_0124	ReMap_ChIP	Plasma	CDK9	plasma_jq1	25477382	plasma	EBV-	human
hg19_0738	ReMap_ChIP	Plasma	MBD4	plasma	25477382	plasma	EBV-	human
hg19_0817	ReMap_ChIP	Plasma	MYC	plasma_jq1	25477382	plasma	EBV-	human
hg19_0772	ReMap_ChIP	Raji	MYC	lcl_raji	25477382	B_lymphocyte	EBV+	human
hg19_0766	ReMap_ChIP	Ramos	MYC	lcl_ramos	25477382	B_lymphocyte	EBV-	human
hg19_0570	ReMap_ChIP	RPMI-8402	GATA3	tall_rpmi8402	25477382	T_lymphocyte	EBV-	human
hg19_1351	ReMap_ChIP	RPMI-8402	TAL1	tall_rpmi8402	25477382	T_lymphocyte	EBV-	human
hg19_1368	ReMap_ChIP	RPMI-8402	TCF12	tall_rpmi8402	25477382	T_lymphocyte	EBV-	human
hg19_1370	ReMap_ChIP	RPMI-8402	TCF3	tall_rpmi8402	25477382	T_lymphocyte	EBV-	human
hg19_0752	ReMap_ChIP	SEM	MEIS1	sem	25477382	B_lymphocyte	EBV-	human
hg19_1113	ReMap_ChIP	SEM	RUNX1	sem	25477382	B_lymphocyte	EBV-	human
hg19_0116	ReMap_ChIP	SKNO-1	CBFB	skno1_leukemic	25477382	myeloid	EBV-	human
hg19_0380	ReMap_ChIP	SKNO-1	ERG	skno1_leukemic	25477382	myeloid	EBV-	human
hg19_0459	ReMap_ChIP	SKNO-1	FLI1	skno1_leukemic	25477382	myeloid	EBV-	human
hg19_1123	ReMap_ChIP	SKNO-1	RUNX1	skno1_leukemic	25477382	myeloid	EBV-	human
hg19_1294	ReMap_ChIP	T_helper_1	STAT1	cd4_ifng	25477382	T_lymphocyte	EBV-	human
hg19_1312	ReMap_ChIP	T_helper_1	STAT4	cd4_il12	25477382	T_lymphocyte	EBV-	human
hg19_1319	ReMap_ChIP	T_helper_1	STAT5A	cd4_il12	25477382	T_lymphocyte	EBV-	human
hg19_1321	ReMap_ChIP	T_helper_1	STAT5B	cd4_il12	25477382	T_lymphocyte	EBV-	human
hg19_0106	ReMap_ChIP	T_lymphocyte	BRD4	cd4+tcell	25477382	T_lymphocyte	EBV-	human
hg19_0107	ReMap_ChIP	T_lymphocyte	BRD4	cd4+tcell_jq1	25477382	T_lymphocyte	EBV-	human
hg19_0108	ReMap_ChIP	T_lymphocyte	BRD4	cd4+tcell_jq1_p5d	25477382	T_lymphocyte	EBV-	human
hg19_0109	ReMap_ChIP	T_lymphocyte	BRD4	cd4+tcell_p5d	25477382	T_lymphocyte	EBV-	human
hg19_1349	ReMap_ChIP	T-ALL_Prima2	TAL1	tall_prima2	25477382	T_lymphocyte	EBV-	human
hg19_1350	ReMap_ChIP	T-ALL_Prima5	TAL1	tall_prima5	25477382	T_lymphocyte	EBV-	human
hg19_1263	ReMap_ChIP	THP-1	SPI1	thp1	25477382	monocyte	EBV-	human
hg19_0138	ReMap_ChIP	U-937	CEBPA	u937_bio	25477382	monocyte	EBV-	human
hg19_0139	ReMap_ChIP	U-937	CEBPA	u937_dmso	25477382	monocyte	EBV-	human
hg19_1168	ReMap_ChIP	U-937	SMAD1	u937_bmp4	25477382	monocyte	EBV-	human
hg19_1391	ReMap_ChIP	U-937	TCF7L2	u937_bio	25477382	monocyte	EBV-	human
